Grade_ID,Assignment_Title,Score,Assignment_ID,Student_ID
1,Midterm Exam,67.79,4,0
1,Midterm Exam,67.79,9,0
1,Midterm Exam,67.79,11,0
1,Midterm Exam,67.79,20,0
1,Midterm Exam,67.79,29,0
1,Midterm Exam,67.79,38,0
1,Midterm Exam,67.79,45,0
1,Midterm Exam,67.79,47,0
1,Midterm Exam,67.79,56,0
1,Midterm Exam,67.79,72,0
1,Midterm Exam,67.79,78,0
1,Midterm Exam,67.79,80,0
1,Midterm Exam,67.79,108,0
1,Midterm Exam,67.79,129,0
1,Midterm Exam,67.79,132,0
1,Midterm Exam,67.79,154,0
1,Midterm Exam,67.79,167,0
1,Midterm Exam,67.79,182,0
1,Midterm Exam,67.79,186,0
1,Midterm Exam,67.79,200,0
1,Midterm Exam,67.79,216,0
1,Midterm Exam,67.79,226,0
1,Midterm Exam,67.79,229,0
1,Midterm Exam,67.79,237,0
1,Midterm Exam,67.79,249,0
1,Midterm Exam,67.79,256,0
2,Research Paper,32.87,5,0
2,Research Paper,32.87,17,0
2,Research Paper,32.87,21,0
2,Research Paper,32.87,31,0
2,Research Paper,32.87,34,0
2,Research Paper,32.87,43,0
2,Research Paper,32.87,94,0
2,Research Paper,32.87,99,0
2,Research Paper,32.87,105,0
2,Research Paper,32.87,109,0
2,Research Paper,32.87,126,0
2,Research Paper,32.87,146,0
2,Research Paper,32.87,151,0
2,Research Paper,32.87,170,0
2,Research Paper,32.87,174,0
2,Research Paper,32.87,178,0
2,Research Paper,32.87,181,0
2,Research Paper,32.87,206,0
2,Research Paper,32.87,213,0
2,Research Paper,32.87,215,0
2,Research Paper,32.87,228,0
2,Research Paper,32.87,231,0
2,Research Paper,32.87,233,0
2,Research Paper,32.87,258,0
3,Case Study,49.65,2,0
3,Case Study,49.65,25,0
3,Case Study,49.65,41,0
3,Case Study,49.65,75,0
3,Case Study,49.65,79,0
3,Case Study,49.65,84,0
3,Case Study,49.65,96,0
3,Case Study,49.65,110,0
3,Case Study,49.65,112,0
3,Case Study,49.65,119,0
3,Case Study,49.65,133,0
3,Case Study,49.65,138,0
3,Case Study,49.65,155,0
3,Case Study,49.65,160,0
3,Case Study,49.65,168,0
3,Case Study,49.65,190,0
3,Case Study,49.65,199,0
3,Case Study,49.65,205,0
3,Case Study,49.65,220,0
3,Case Study,49.65,224,0
3,Case Study,49.65,232,0
3,Case Study,49.65,239,0
3,Case Study,49.65,247,0
4,Lab Report,7.3,8,0
4,Lab Report,7.3,23,0
4,Lab Report,7.3,30,0
4,Lab Report,7.3,52,0
4,Lab Report,7.3,59,0
4,Lab Report,7.3,63,0
4,Lab Report,7.3,74,0
4,Lab Report,7.3,76,0
4,Lab Report,7.3,92,0
4,Lab Report,7.3,98,0
4,Lab Report,7.3,122,0
4,Lab Report,7.3,130,0
4,Lab Report,7.3,139,0
4,Lab Report,7.3,157,0
4,Lab Report,7.3,171,0
4,Lab Report,7.3,194,0
4,Lab Report,7.3,214,0
4,Lab Report,7.3,240,0
4,Lab Report,7.3,243,0
5,Midterm Exam,43.76,4,14
5,Midterm Exam,43.76,9,14
5,Midterm Exam,43.76,11,14
5,Midterm Exam,43.76,20,14
5,Midterm Exam,43.76,29,14
5,Midterm Exam,43.76,38,14
5,Midterm Exam,43.76,45,14
5,Midterm Exam,43.76,47,14
5,Midterm Exam,43.76,56,14
5,Midterm Exam,43.76,72,14
5,Midterm Exam,43.76,78,14
5,Midterm Exam,43.76,80,14
5,Midterm Exam,43.76,108,14
5,Midterm Exam,43.76,129,14
5,Midterm Exam,43.76,132,14
5,Midterm Exam,43.76,154,14
5,Midterm Exam,43.76,167,14
5,Midterm Exam,43.76,182,14
5,Midterm Exam,43.76,186,14
5,Midterm Exam,43.76,200,14
5,Midterm Exam,43.76,216,14
5,Midterm Exam,43.76,226,14
5,Midterm Exam,43.76,229,14
5,Midterm Exam,43.76,237,14
5,Midterm Exam,43.76,249,14
5,Midterm Exam,43.76,256,14
6,Research Paper,33.96,5,14
6,Research Paper,33.96,17,14
6,Research Paper,33.96,21,14
6,Research Paper,33.96,31,14
6,Research Paper,33.96,34,14
6,Research Paper,33.96,43,14
6,Research Paper,33.96,94,14
6,Research Paper,33.96,99,14
6,Research Paper,33.96,105,14
6,Research Paper,33.96,109,14
6,Research Paper,33.96,126,14
6,Research Paper,33.96,146,14
6,Research Paper,33.96,151,14
6,Research Paper,33.96,170,14
6,Research Paper,33.96,174,14
6,Research Paper,33.96,178,14
6,Research Paper,33.96,181,14
6,Research Paper,33.96,206,14
6,Research Paper,33.96,213,14
6,Research Paper,33.96,215,14
6,Research Paper,33.96,228,14
6,Research Paper,33.96,231,14
6,Research Paper,33.96,233,14
6,Research Paper,33.96,258,14
7,Case Study,50.87,2,14
7,Case Study,50.87,25,14
7,Case Study,50.87,41,14
7,Case Study,50.87,75,14
7,Case Study,50.87,79,14
7,Case Study,50.87,84,14
7,Case Study,50.87,96,14
7,Case Study,50.87,110,14
7,Case Study,50.87,112,14
7,Case Study,50.87,119,14
7,Case Study,50.87,133,14
7,Case Study,50.87,138,14
7,Case Study,50.87,155,14
7,Case Study,50.87,160,14
7,Case Study,50.87,168,14
7,Case Study,50.87,190,14
7,Case Study,50.87,199,14
7,Case Study,50.87,205,14
7,Case Study,50.87,220,14
7,Case Study,50.87,224,14
7,Case Study,50.87,232,14
7,Case Study,50.87,239,14
7,Case Study,50.87,247,14
8,Lab Report,98.67,8,14
8,Lab Report,98.67,23,14
8,Lab Report,98.67,30,14
8,Lab Report,98.67,52,14
8,Lab Report,98.67,59,14
8,Lab Report,98.67,63,14
8,Lab Report,98.67,74,14
8,Lab Report,98.67,76,14
8,Lab Report,98.67,92,14
8,Lab Report,98.67,98,14
8,Lab Report,98.67,122,14
8,Lab Report,98.67,130,14
8,Lab Report,98.67,139,14
8,Lab Report,98.67,157,14
8,Lab Report,98.67,171,14
8,Lab Report,98.67,194,14
8,Lab Report,98.67,214,14
8,Lab Report,98.67,240,14
8,Lab Report,98.67,243,14
9,Midterm Exam,9.45,4,22
9,Midterm Exam,9.45,9,22
9,Midterm Exam,9.45,11,22
9,Midterm Exam,9.45,20,22
9,Midterm Exam,9.45,29,22
9,Midterm Exam,9.45,38,22
9,Midterm Exam,9.45,45,22
9,Midterm Exam,9.45,47,22
9,Midterm Exam,9.45,56,22
9,Midterm Exam,9.45,72,22
9,Midterm Exam,9.45,78,22
9,Midterm Exam,9.45,80,22
9,Midterm Exam,9.45,108,22
9,Midterm Exam,9.45,129,22
9,Midterm Exam,9.45,132,22
9,Midterm Exam,9.45,154,22
9,Midterm Exam,9.45,167,22
9,Midterm Exam,9.45,182,22
9,Midterm Exam,9.45,186,22
9,Midterm Exam,9.45,200,22
9,Midterm Exam,9.45,216,22
9,Midterm Exam,9.45,226,22
9,Midterm Exam,9.45,229,22
9,Midterm Exam,9.45,237,22
